Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,7.509608,7.770945,7.494235,7.601845,7.210887,1835061
2018-03-29,7.686395,8.001537,7.686395,7.932360,7.524405,1600230
2018-04-02,7.916987,8.370484,7.824750,8.247502,7.823339,3096640
2018-04-03,8.378171,8.601076,8.055342,8.339739,7.910832,3189532
2018-04-04,8.262875,8.301307,8.093774,8.239816,7.816048,1653571
2018-04-05,8.232129,8.447348,8.201384,8.424289,7.991034,2773082
2018-04-06,8.401230,8.516526,8.170638,8.247502,7.823339,1366050
2018-04-09,8.278248,8.278248,8.024596,8.063028,7.648353,981605
2018-04-10,8.147579,8.162952,7.978478,8.039969,7.626480,1044443
2018-04-11,7.993851,8.139892,7.855496,8.009224,7.597316,780990
2018-04-12,8.439662,8.508839,8.239816,8.332052,7.903541,1411845
2018-04-13,8.355111,8.455035,8.262875,8.370484,7.939997,693563
2018-04-16,8.401230,8.401230,8.155265,8.339739,7.910832,1004632
2018-04-17,8.362798,8.601076,8.301307,8.493467,8.056655,1272248
2018-04-18,8.562644,9.146810,8.531899,8.700999,8.253513,1822701
2018-04-19,8.631822,8.754804,8.493467,8.585703,8.144146,972498
2018-04-20,8.624135,8.754804,8.516526,8.562644,8.122274,1121722
2018-04-23,8.624135,8.831668,8.570331,8.747118,8.297261,981084
2018-04-24,8.823982,8.847041,8.601076,8.685626,8.238931,871540
2018-04-25,8.677940,8.808609,8.662567,8.693313,8.246222,649850
2018-04-26,8.731745,8.754804,8.524212,8.539585,8.100399,814946
2018-04-27,8.570331,8.647194,8.508839,8.562644,8.122274,705662
2018-04-30,8.608762,8.654881,8.424289,8.455035,8.020200,1386606
2018-05-01,8.431975,8.478094,8.239816,8.447348,8.012909,927613
2018-05-02,8.416603,8.508839,8.347425,8.478094,8.042070,684456
2018-05-03,8.501153,8.501153,8.132206,8.193697,7.772302,1044573
2018-05-04,8.186011,8.408916,8.162952,8.301307,7.874378,1487563
2018-05-07,8.332052,8.347425,8.116833,8.201384,7.779593,1337948
2018-05-08,8.201384,8.378171,8.186011,8.293620,7.867085,1050037
2018-05-09,8.285934,8.408916,8.162952,8.324366,7.896250,1231006
2018-05-10,8.347425,8.601076,8.347425,8.524212,8.085819,1180788
2018-05-11,8.578017,8.854727,8.562644,8.677940,8.231642,1118730
2018-05-14,8.685626,8.747118,8.585703,8.631822,8.187894,1018163
2018-05-15,8.570331,8.762490,8.570331,8.685626,8.238931,798033
2018-05-16,8.685626,8.862414,8.670254,8.777863,8.326426,993053
2018-05-17,8.785550,8.885473,8.700999,8.823982,8.370172,865035
2018-05-18,8.839354,8.893159,8.739431,8.823982,8.370172,868938
2018-05-21,8.831668,8.970023,8.785550,8.970023,8.508701,740139
2018-05-22,9.016141,9.139124,8.970023,9.031514,8.567030,825094
2018-05-23,9.000769,9.362029,8.993082,9.162183,8.690978,1496150
2018-05-24,9.254420,9.607994,9.246733,9.584935,9.091990,2083812
2018-05-25,9.592621,9.700231,9.500384,9.631053,9.135736,1039369
2018-05-29,9.607994,9.800154,9.592621,9.700231,9.201354,1841956
2018-05-30,9.723290,9.961568,9.646426,9.953882,9.441962,1566274
2018-05-31,9.953882,10.015373,9.654112,9.677171,9.179482,1108062
2018-06-01,9.738663,9.800154,9.500384,9.577248,9.084695,1374897
2018-06-04,9.638739,9.769408,9.385088,9.446580,8.960750,1639650
2018-06-05,9.477325,9.569562,9.331284,9.508071,9.019078,1674387
2018-06-06,9.500384,9.661799,9.485012,9.615680,9.121152,757963
2018-06-07,9.607994,9.723290,9.454266,9.707917,9.208647,866076
2018-06-08,9.677171,9.838586,9.607994,9.823213,9.318011,1450745
2018-06-11,9.784781,9.815527,9.577248,9.623367,9.128446,1947337
2018-06-12,9.677171,9.838586,9.677171,9.723290,9.223228,1415098
2018-06-13,9.738663,9.738663,9.554189,9.615680,9.121152,1033905
2018-06-14,9.600307,9.723290,9.446580,9.684858,9.186773,938021
2018-06-15,9.638739,9.877018,9.607994,9.792467,9.288847,1376588
2018-06-18,9.769408,10.015373,9.769408,9.969254,9.456543,1580585
2018-06-19,9.900077,10.176787,9.761722,10.061491,9.544036,1461283
2018-06-20,10.046118,10.269024,10.038432,10.169101,9.646111,3229212
2018-06-21,9.415834,9.976941,8.923905,9.838586,9.332595,7363140
2018-06-22,9.869331,10.107610,9.715603,9.730976,9.230519,4856503
2018-06-25,9.692544,9.907763,9.600307,9.715603,9.215937,2545407
